nohup: ignoring input
--- INITIALIZING AURA-X OMEGA: 10-LAYER GRANDMASTER ---
[SYSTEM] Target: 110.79 MB | Hardware: Cloud vCPU Optimized
[LOADED] 1000000000 bytes. Memory engaged.
[STAGE 1] LZ77 Dictionary Smasher starting...
[LZ77] Initial reduction complete. Smashed size: 591654197 bytes.
[PIPELINE] Engaging Mamba-MoE Neural Core...
>>> [1.8%] BPB: 9.9783 | EST: 1189.50 MB | Speed: 0.00 KB/s
>>> [3.5%] BPB: 9.9771 | EST: 1189.36 MB | Speed: 62.54 KB/s
>>> [5.3%] BPB: 9.9793 | EST: 1189.63 MB | Speed: 82.93 KB/s
>>> [7.1%] BPB: 9.9771 | EST: 1189.36 MB | Speed: 93.90 KB/s
>>> [8.9%] BPB: 9.9776 | EST: 1189.42 MB | Speed: 100.35 KB/s
>>> [10.6%] BPB: 9.9755 | EST: 1189.17 MB | Speed: 104.42 KB/s
>>> [12.4%] BPB: 9.9751 | EST: 1189.12 MB | Speed: 107.31 KB/s
>>> [14.2%] BPB: 9.9772 | EST: 1189.37 MB | Speed: 109.49 KB/s
>>> [16.0%] BPB: 9.9768 | EST: 1189.33 MB | Speed: 111.26 KB/s
>>> [17.7%] BPB: 9.9768 | EST: 1189.33 MB | Speed: 112.79 KB/s
>>> [19.5%] BPB: 9.9761 | EST: 1189.24 MB | Speed: 113.89 KB/s
>>> [21.3%] BPB: 9.9754 | EST: 1189.16 MB | Speed: 114.94 KB/s
>>> [23.0%] BPB: 9.9743 | EST: 1189.03 MB | Speed: 115.70 KB/s
>>> [24.8%] BPB: 9.9741 | EST: 1189.00 MB | Speed: 116.39 KB/s
>>> [26.6%] BPB: 9.9727 | EST: 1188.84 MB | Speed: 116.92 KB/s
>>> [28.4%] BPB: 9.9729 | EST: 1188.86 MB | Speed: 117.48 KB/s
>>> [30.1%] BPB: 9.9731 | EST: 1188.89 MB | Speed: 117.93 KB/s
>>> [31.9%] BPB: 9.9733 | EST: 1188.91 MB | Speed: 118.35 KB/s
>>> [33.7%] BPB: 9.9738 | EST: 1188.97 MB | Speed: 118.70 KB/s
>>> [35.4%] BPB: 9.9746 | EST: 1189.07 MB | Speed: 119.02 KB/s
>>> [37.2%] BPB: 9.9759 | EST: 1189.22 MB | Speed: 118.88 KB/s
>>> [39.0%] BPB: 9.9769 | EST: 1189.34 MB | Speed: 116.30 KB/s
>>> [40.8%] BPB: 9.9778 | EST: 1189.45 MB | Speed: 114.85 KB/s
>>> [42.5%] BPB: 9.9792 | EST: 1189.61 MB | Speed: 114.35 KB/s
>>> [44.3%] BPB: 9.9805 | EST: 1189.77 MB | Speed: 114.26 KB/s
>>> [46.1%] BPB: 9.9817 | EST: 1189.91 MB | Speed: 113.72 KB/s
>>> [47.9%] BPB: 9.9843 | EST: 1190.22 MB | Speed: 113.96 KB/s
>>> [49.6%] BPB: 9.9871 | EST: 1190.55 MB | Speed: 114.24 KB/s
>>> [51.4%] BPB: 9.9897 | EST: 1190.87 MB | Speed: 114.60 KB/s
>>> [53.2%] BPB: 9.9972 | EST: 1191.76 MB | Speed: 114.79 KB/s
>>> [54.9%] BPB: 10.0030 | EST: 1192.45 MB | Speed: 115.05 KB/s
